TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	550709.0	544514.8	556438.8
2000000.0	1045317.0	1033412.9	1056487.3
3000000.0	1525847.5	1508437.1	1542260.0
4000000.0	1996747.0	1973999.9	2018271.8
5000000.0	2459818.0	2431886.1	2486346.9
6000000.0	2916077.5	2883078.5	2947499.0
7000000.0	3366180.0	3328228.3	3402398.0
8000000.0	3810602.0	3767805.0	3851513.7
9000000.0	4249711.0	4202165.6	4295189.2
10000000.0	4683803.5	4631603.8	4733751.7
11000000.0	5113126.5	5056363.9	5167454.6
12000000.0	5537889.5	5476648.1	5596514.7
13000000.0	5958275.5	5892641.6	6021115.2
14000000.0	6374449.0	6304499.8	6441422.4
15000000.0	6786549.5	6712366.1	6857581.1
16000000.0	7194710.7	7116367.1	7269724.9
17000000.0	7599051.7	7516622.5	7677977.9
18000000.0	7999680.7	7913237.6	8082449.5
19000000.0	8396698.6	8306311.1	8483242.6
20000000.0	8790198.8	8695934.6	8880452.6
21000000.0	9180268.8	9082193.6	9274168.7
22000000.0	9566990.6	9465168.0	9664474.6
23000000.0	9950441.3	9844933.0	10051449.1
24000000.0	10330694.1	10221559.5	10435166.8
25000000.0	10707818.6	10595115.0	10815698.7
26000000.0	11081881.2	10965663.3	11193112.8
27000000.0	11452946.0	11333265.3	11567474.8
28000000.0	11821103.1	11697979.1	11938849.8
29000000.0	12186450.7	12059860.0	12307302.2
30000000.0	12549111.1	12418960.7	12672887.4
31000000.0	12908776.7	12775331.0	13035625.5
32000000.0	13265847.1	13129018.0	13395528.1
33000000.0	13620174.7	13480066.0	13752671.9
34000000.0	13971636.9	13828516.5	14107135.7
35000000.0	14320164.7	14174408.6	14458969.1
36000000.0	14665993.7	14517779.7	14808211.7
37000000.0	15009420.2	14858665.6	15154901.6
38000000.0	15350944.7	15197101.7	15499076.6
39000000.0	15690050.9	15533122.7	15840774.0
40000000.0	16026768.7	15866759.2	16180030.2
41000000.0	16361133.8	16198038.2	16516880.6
42000000.0	16692901.7	16527001.7	16851359.8
