search_term	db_term	search_field
SRR11024613	SRR11024613	srr
SRR11024614	SRR11024614	sample_name
SRR11024614	SRR11024614	srr
SRR11024615	SRR11024615	sample_name
SRR11024615	SRR11024615	srr
SRR11024616	SRR11024616	sample_name
SRR11024616	SRR11024616	srr
SRR11024617	SRR11024617	sample_name
SRR11024617	SRR11024617	srr
SRR11024618	SRR11024618	sample_name
SRR11024618	SRR11024618	srr
SRR11024619	SRR11024619	sample_name
SRR11024619	SRR11024619	srr
SRR11024620	SRR11024620	sample_name
SRR11024620	SRR11024620	srr
SRR11024621	SRR11024621	sample_name
SRR11024621	SRR11024621	srr
SRR11024622	SRR11024622	sample_name
SRR11024622	SRR11024622	srr
SRR11024623	SRR11024623	sample_name
SRR11024623	SRR11024623	srr
SRR11024624	SRR11024624	sample_name
SRR11024624	SRR11024624	srr
SRR11024625	SRR11024625	sample_name
SRR11024625	SRR11024625	srr
SRR11024626	SRR11024626	sample_name
SRR11024626	SRR11024626	srr
SRR11024627	SRR11024627	sample_name
SRR11024627	SRR11024627	srr
SRR11024628	SRR11024628	sample_name
SRR11024628	SRR11024628	srr
SRR11024629	SRR11024629	sample_name
SRR11024629	SRR11024629	srr
SRR11024631	SRR11024631	sample_name
SRR11024631	SRR11024631	srr
SRR11024632	SRR11024632	sample_name
SRR11024632	SRR11024632	srr
SRR11024633	SRR11024633	sample_name
SRR11024633	SRR11024633	srr
SRR1105736	SRR1105736	sample_name
SRR1105736	SRR1105736	srr
SRR1105737	SRR1105737	sample_name
SRR1105737	SRR1105737	srr
SRR1105738	SRR1105738	sample_name
SRR1105738	SRR1105738	srr
SRR1105739	SRR1105739	sample_name
SRR1105739	SRR1105739	srr
SRR1105740	SRR1105740	sample_name
SRR1105740	SRR1105740	srr
SRR1105741	SRR1105741	sample_name
SRR1105741	SRR1105741	srr
SRR11059463	SRR11059463	sample_name
SRR11059463	SRR11059463	srr
SRR11059464	SRR11059464	sample_name
SRR11059464	SRR11059464	srr
SRR11059465	SRR11059465	sample_name
SRR11059465	SRR11059465	srr
SRR11059466	SRR11059466	sample_name
SRR11059466	SRR11059466	srr
SRR11059467	SRR11059467	sample_name
SRR11059467	SRR11059467	srr
SRR11059468	SRR11059468	sample_name
SRR11059468	SRR11059468	srr
SRR11059469	SRR11059469	sample_name
SRR11059469	SRR11059469	srr
SRR11059470	SRR11059470	sample_name
SRR11059470	SRR11059470	srr
SRR1121678	SRR1121678	sample_name
SRR1121678	SRR1121678	srr
SRR1121679	SRR1121679	sample_name
SRR1121679	SRR1121679	srr
SRR11273554	SRR11273554	sample_name
SRR11273554	SRR11273554	srr
SRR11273555	SRR11273555	sample_name
SRR11273555	SRR11273555	srr
SRR11273556	SRR11273556	sample_name
SRR11273556	SRR11273556	srr
SRR11273557	SRR11273557	sample_name
SRR11273557	SRR11273557	srr
SRR11273558	SRR11273558	sample_name
SRR11273558	SRR11273558	srr
SRR11273559	SRR11273559	sample_name
SRR11273559	SRR11273559	srr
SRR11273560	SRR11273560	sample_name
SRR11273560	SRR11273560	srr
SRR11273561	SRR11273561	sample_name
SRR11273561	SRR11273561	srr
SRR11314417	SRR11314417	sample_name
SRR11314417	SRR11314417	srr
SRR11314418	SRR11314418	sample_name
SRR11314418	SRR11314418	srr
SRR1145801	SRR1145801	sample_name
SRR1145801	SRR1145801	srr
SRR1145808	SRR1145808	sample_name
SRR1145808	SRR1145808	srr
SRR1145815	SRR1145815	sample_name
SRR1145815	SRR1145815	srr
SRR1145822	SRR1145822	sample_name
SRR1145822	SRR1145822	srr
SRR1145829	SRR1145829	sample_name
SRR1145829	SRR1145829	srr
SRR11554696	SRR11554696	sample_name
SRR11554696	SRR11554696	srr
SRR11554697	SRR11554697	sample_name
SRR11554697	SRR11554697	srr
SRR11554698	SRR11554698	sample_name
SRR11554698	SRR11554698	srr
SRR11554699	SRR11554699	sample_name
SRR11554699	SRR11554699	srr
SRR11554700	SRR11554700	sample_name
SRR11554700	SRR11554700	srr
SRR11554701	SRR11554701	sample_name
SRR11554701	SRR11554701	srr
SRR11554702	SRR11554702	sample_name
SRR11554702	SRR11554702	srr
SRR11554703	SRR11554703	sample_name
SRR11554703	SRR11554703	srr
SRR11554704	SRR11554704	sample_name
SRR11554704	SRR11554704	srr
SRR11554705	SRR11554705	sample_name
SRR11554705	SRR11554705	srr
SRR11554706	SRR11554706	sample_name
SRR11554706	SRR11554706	srr
SRR11554707	SRR11554707	sample_name
SRR11554707	SRR11554707	srr
SRR11554708	SRR11554708	sample_name
SRR11554708	SRR11554708	srr
SRR11554709	SRR11554709	sample_name
SRR11554709	SRR11554709	srr
SRR11554710	SRR11554710	sample_name
SRR11554710	SRR11554710	srr
SRR11554711	SRR11554711	sample_name
SRR11554711	SRR11554711	srr
SRR11554712	SRR11554712	sample_name
SRR11554712	SRR11554712	srr
SRR11554713	SRR11554713	sample_name
SRR11554713	SRR11554713	srr
SRR11554714	SRR11554714	sample_name
SRR11554714	SRR11554714	srr
SRR11554715	SRR11554715	sample_name
SRR11554715	SRR11554715	srr
SRR11554716	SRR11554716	sample_name
SRR11554716	SRR11554716	srr
SRR11554717	SRR11554717	sample_name
SRR11554717	SRR11554717	srr
SRR11554718	SRR11554718	sample_name
SRR11554718	SRR11554718	srr
SRR11554719	SRR11554719	sample_name
SRR11554719	SRR11554719	srr
SRR11554720	SRR11554720	sample_name
SRR11554720	SRR11554720	srr
SRR11554721	SRR11554721	sample_name
SRR11554721	SRR11554721	srr
SRR11554722	SRR11554722	sample_name
SRR11554722	SRR11554722	srr
SRR11554723	SRR11554723	sample_name
SRR11554723	SRR11554723	srr
SRR11607563	SRR11607563	srr
SRR11607564	SRR11607564	sample_name
SRR11607564	SRR11607564	srr
SRR11607565	SRR11607565	srr
SRR11607566	SRR11607566	srr
SRR11607567	SRR11607567	sample_name
SRR11607567	SRR11607567	srr
SRR11607568	SRR11607568	srr
SRR11607569	SRR11607569	srr
SRR11607570	SRR11607570	sample_name
SRR11607570	SRR11607570	srr
SRR11607571	SRR11607571	srr
SRR11607572	SRR11607572	srr
SRR11607573	SRR11607573	sample_name
SRR11607573	SRR11607573	srr
SRR11607574	SRR11607574	srr
SRR11607575	SRR11607575	srr
SRR11607576	SRR11607576	sample_name
SRR11607576	SRR11607576	srr
SRR11607577	SRR11607577	srr
SRR1168364	SRR1168364	sample_name
SRR1168364	SRR1168364	srr
SRR1168365	SRR1168365	sample_name
SRR1168365	SRR1168365	srr
SRR11785044	SRR11785044	sample_name
SRR11785044	SRR11785044	srr
SRR11785045	SRR11785045	sample_name
SRR11785045	SRR11785045	srr
SRR11785046	SRR11785046	sample_name
SRR11785046	SRR11785046	srr
SRR11785047	SRR11785047	sample_name
SRR11785047	SRR11785047	srr
SRR11785048	SRR11785048	sample_name
SRR11785048	SRR11785048	srr
SRR11785049	SRR11785049	sample_name
SRR11785049	SRR11785049	srr
SRR11785050	SRR11785050	sample_name
SRR11785050	SRR11785050	srr
SRR11785051	SRR11785051	sample_name
SRR11785051	SRR11785051	srr
SRR11789179	SRR11789179	sample_name
SRR11789179	SRR11789179	srr
SRR11793825	SRR11793825	sample_name
SRR11793825	SRR11793825	srr
SRR11793826	SRR11793826	sample_name
SRR11793826	SRR11793826	srr
SRR11793827	SRR11793827	sample_name
SRR11793827	SRR11793827	srr
SRR11793828	SRR11793828	sample_name
SRR11793828	SRR11793828	srr
SRR11793829	SRR11793829	sample_name
SRR11793829	SRR11793829	srr
SRR11793830	SRR11793830	sample_name
SRR11793830	SRR11793830	srr
SRR11802024	SRR11802024	sample_name
SRR11802024	SRR11802024	srr
SRR11802025	SRR11802025	sample_name
SRR11802025	SRR11802025	srr
SRR11802026	SRR11802026	sample_name
SRR11802026	SRR11802026	srr
SRR11802027	SRR11802027	sample_name
SRR11802027	SRR11802027	srr
SRR11802028	SRR11802028	sample_name
SRR11802028	SRR11802028	srr
SRR11802029	SRR11802029	sample_name
SRR11802029	SRR11802029	srr
SRR11802030	SRR11802030	sample_name
SRR11802030	SRR11802030	srr
SRR11802031	SRR11802031	sample_name
SRR11802031	SRR11802031	srr
SRR11802032	SRR11802032	sample_name
SRR11802032	SRR11802032	srr
SRR11802033	SRR11802033	sample_name
SRR11802033	SRR11802033	srr
SRR11802034	SRR11802034	sample_name
SRR11802034	SRR11802034	srr
SRR11802035	SRR11802035	sample_name
SRR11802035	SRR11802035	srr
SRR11802036	SRR11802036	sample_name
SRR11802036	SRR11802036	srr
SRR11802037	SRR11802037	sample_name
SRR11802037	SRR11802037	srr
SRR11802038	SRR11802038	sample_name
SRR11802038	SRR11802038	srr
SRR11802039	SRR11802039	sample_name
SRR11802039	SRR11802039	srr
SRR11802040	SRR11802040	sample_name
SRR11802040	SRR11802040	srr
SRR11802041	SRR11802041	sample_name
SRR11802041	SRR11802041	srr
SRR11802042	SRR11802042	sample_name
SRR11802042	SRR11802042	srr
SRR11802043	SRR11802043	sample_name
SRR11802043	SRR11802043	srr
SRR11802044	SRR11802044	sample_name
SRR11802044	SRR11802044	srr
SRR11811942	SRR11811942	sample_name
SRR11811942	SRR11811942	srr
SRR11811943	SRR11811943	sample_name
SRR11811943	SRR11811943	srr
SRR11811944	SRR11811944	sample_name
SRR11811944	SRR11811944	srr
SRR11811945	SRR11811945	sample_name
SRR11811945	SRR11811945	srr
SRR11811946	SRR11811946	sample_name
SRR11811946	SRR11811946	srr
SRR11811947	SRR11811947	sample_name
SRR11811947	SRR11811947	srr
SRR11811948	SRR11811948	sample_name
SRR11811948	SRR11811948	srr
SRR11811949	SRR11811949	sample_name
SRR11811949	SRR11811949	srr
SRR11849645	SRR11849645	sample_name
SRR11849645	SRR11849645	srr
SRR11849646	SRR11849646	sample_name
SRR11849646	SRR11849646	srr
SRR11849647	SRR11849647	sample_name
SRR11849647	SRR11849647	srr
SRR11849648	SRR11849648	sample_name
SRR11849648	SRR11849648	srr
SRR1187957	SRR1187957	sample_name
SRR1187957	SRR1187957	srr
SRR1187958	SRR1187958	sample_name
SRR1187958	SRR1187958	srr
SRR1192053	SRR1192053	sample_name
SRR1192053	SRR1192053	srr
SRR1192054	SRR1192054	sample_name
SRR1192054	SRR1192054	srr
SRR1192055	SRR1192055	sample_name
SRR1192055	SRR1192055	srr
SRR1192056	SRR1192056	sample_name
SRR1192056	SRR1192056	srr
SRR11936615	SRR11936615	sample_name
SRR11936615	SRR11936615	srr
SRR11936616	SRR11936616	sample_name
SRR11936616	SRR11936616	srr
SRR11936617	SRR11936617	sample_name
SRR11936617	SRR11936617	srr
SRR11936618	SRR11936618	sample_name
SRR11936618	SRR11936618	srr
SRR11936619	SRR11936619	sample_name
SRR11936619	SRR11936619	srr
SRR11936620	SRR11936620	sample_name
SRR11936620	SRR11936620	srr
SRR11936621	SRR11936621	sample_name
SRR11936621	SRR11936621	srr
SRR11936622	SRR11936622	sample_name
SRR11936622	SRR11936622	srr
SRR11936623	SRR11936623	sample_name
SRR11936623	SRR11936623	srr
SRR11936624	SRR11936624	sample_name
SRR11936624	SRR11936624	srr
SRR11936625	SRR11936625	sample_name
SRR11936625	SRR11936625	srr
SRR11936626	SRR11936626	sample_name
SRR11936626	SRR11936626	srr
SRR11936627	SRR11936627	sample_name
SRR11936627	SRR11936627	srr
SRR11936628	SRR11936628	sample_name
SRR11936628	SRR11936628	srr
SRR12083664	SRR12083664	sample_name
SRR12083664	SRR12083664	srr
SRR12083665	SRR12083665	sample_name
SRR12083665	SRR12083665	srr
SRR12091767	SRR12091767	sample_name
SRR12091767	SRR12091767	srr
SRR12091768	SRR12091768	sample_name
SRR12091768	SRR12091768	srr
SRR12091769	SRR12091769	sample_name
SRR12091769	SRR12091769	srr
SRR12091770	SRR12091770	sample_name
SRR12091770	SRR12091770	srr
SRR12091771	SRR12091771	sample_name
SRR12091771	SRR12091771	srr
SRR12091772	SRR12091772	sample_name
SRR12091772	SRR12091772	srr
SRR12091773	SRR12091773	sample_name
SRR12091773	SRR12091773	srr
SRR12091774	SRR12091774	sample_name
SRR12091774	SRR12091774	srr
SRR12091775	SRR12091775	sample_name
SRR12091775	SRR12091775	srr
SRR12091776	SRR12091776	sample_name
SRR12091776	SRR12091776	srr
SRR12091777	SRR12091777	sample_name
SRR12091777	SRR12091777	srr
SRR12091778	SRR12091778	sample_name
SRR12091778	SRR12091778	srr
SRR12091779	SRR12091779	sample_name
SRR12091779	SRR12091779	srr
SRR12091780	SRR12091780	sample_name
SRR12091780	SRR12091780	srr
SRR12091781	SRR12091781	sample_name
SRR12091781	SRR12091781	srr
SRR12091782	SRR12091782	sample_name
SRR12091782	SRR12091782	srr
SRR12091783	SRR12091783	sample_name
SRR12091783	SRR12091783	srr
SRR12091784	SRR12091784	sample_name
SRR12091784	SRR12091784	srr
SRR12179472	SRR12179472	srr
SRR12179473	SRR12179473	srr
SRR12179474	SRR12179474	srr
SRR12179475	SRR12179475	srr
SRR1219737	SRR1219737	sample_name
SRR1219737	SRR1219737	srr
SRR122339	SRR122339	sample_name
SRR122339	SRR122339	srr
SRR122340	SRR122340	sample_name
SRR122340	SRR122340	srr
SRR122341	SRR122341	sample_name
SRR122341	SRR122341	srr
SRR1224573	SRR1224573	sample_name
SRR1224573	SRR1224573	srr
SRR1224574	SRR1224574	sample_name
SRR1224574	SRR1224574	srr
SRR1233867	SRR1233867	sample_name
SRR1233867	SRR1233867	srr
SRR1233868	SRR1233868	sample_name
SRR1233868	SRR1233868	srr
SRR1233869	SRR1233869	sample_name
SRR1233869	SRR1233869	srr
SRR1233870	SRR1233870	sample_name
SRR1233870	SRR1233870	srr
SRR1233871	SRR1233871	sample_name
SRR1233871	SRR1233871	srr
SRR1233872	SRR1233872	sample_name
SRR1233872	SRR1233872	srr
SRR1233873	SRR1233873	sample_name
SRR1233873	SRR1233873	srr
SRR1233874	SRR1233874	sample_name
SRR1233874	SRR1233874	srr
SRR1233875	SRR1233875	sample_name
SRR1233875	SRR1233875	srr
SRR1233876	SRR1233876	sample_name
SRR1233876	SRR1233876	srr
SRR12482690	SRR12482690	sample_name
SRR12482690	SRR12482690	srr
SRR12482691	SRR12482691	sample_name
SRR12482691	SRR12482691	srr
SRR12482692	SRR12482692	sample_name
SRR12482692	SRR12482692	srr
SRR12482693	SRR12482693	sample_name
SRR12482693	SRR12482693	srr
SRR12482694	SRR12482694	sample_name
SRR12482694	SRR12482694	srr
SRR12482695	SRR12482695	sample_name
SRR12482695	SRR12482695	srr
SRR12634522	SRR12634522	sample_name
SRR12634522	SRR12634522	srr
SRR12634523	SRR12634523	sample_name
SRR12634523	SRR12634523	srr
SRR12634524	SRR12634524	sample_name
SRR12634524	SRR12634524	srr
SRR12634525	SRR12634525	sample_name
SRR12634525	SRR12634525	srr
SRR12634526	SRR12634526	sample_name
SRR12634526	SRR12634526	srr
SRR12634527	SRR12634527	sample_name
SRR12634527	SRR12634527	srr
SRR12634528	SRR12634528	sample_name
SRR12634528	SRR12634528	srr
SRR12634529	SRR12634529	sample_name
SRR12634529	SRR12634529	srr
SRR12634530	SRR12634530	sample_name
SRR12634530	SRR12634530	srr
SRR12650990	SRR12650990	sample_name
SRR12650990	SRR12650990	srr
SRR12699328	SRR12699328	sample_name
SRR12699328	SRR12699328	srr
SRR12699329	SRR12699329	sample_name
SRR12699329	SRR12699329	srr
SRR12699330	SRR12699330	sample_name
SRR12699330	SRR12699330	srr
SRR12699331	SRR12699331	sample_name
SRR12699331	SRR12699331	srr
SRR12699332	SRR12699332	sample_name
SRR12699332	SRR12699332	srr
SRR12699333	SRR12699333	sample_name
SRR12699333	SRR12699333	srr
SRR12699334	SRR12699334	sample_name
SRR12699334	SRR12699334	srr
SRR12699335	SRR12699335	sample_name
SRR12699335	SRR12699335	srr
SRR12699336	SRR12699336	sample_name
SRR12699336	SRR12699336	srr
SRR12699337	SRR12699337	sample_name
SRR12699337	SRR12699337	srr
SRR12699338	SRR12699338	sample_name
SRR12699338	SRR12699338	srr
SRR12699339	SRR12699339	sample_name
SRR12699339	SRR12699339	srr
SRR12699340	SRR12699340	sample_name
SRR12699340	SRR12699340	srr
SRR12699341	SRR12699341	sample_name
SRR12699341	SRR12699341	srr
SRR12699342	SRR12699342	sample_name
SRR12699342	SRR12699342	srr
SRR12699343	SRR12699343	sample_name
SRR12699343	SRR12699343	srr
SRR1275489	SRR1275489	sample_name
SRR1275489	SRR1275489	srr
SRR1275490	SRR1275490	sample_name
SRR1275490	SRR1275490	srr
SRR1275491	SRR1275491	sample_name
SRR1275491	SRR1275491	srr
SRR1275492	SRR1275492	sample_name
SRR1275492	SRR1275492	srr
SRR1275493	SRR1275493	sample_name
SRR1275493	SRR1275493	srr
SRR1275494	SRR1275494	sample_name
SRR1275494	SRR1275494	srr
SRR12774937	SRR12774937	sample_name
SRR12774937	SRR12774937	srr
SRR12774938	SRR12774938	sample_name
SRR12774938	SRR12774938	srr
SRR12774939	SRR12774939	sample_name
SRR12774939	SRR12774939	srr
SRR12774940	SRR12774940	sample_name
SRR12774940	SRR12774940	srr
SRR12774941	SRR12774941	sample_name
SRR12774941	SRR12774941	srr
SRR12774942	SRR12774942	sample_name
SRR12774942	SRR12774942	srr
SRR12774943	SRR12774943	sample_name
SRR12774943	SRR12774943	srr
SRR12774944	SRR12774944	sample_name
SRR12774944	SRR12774944	srr
SRR12774945	SRR12774945	sample_name
SRR12774945	SRR12774945	srr
SRR12774946	SRR12774946	sample_name
SRR12774946	SRR12774946	srr
SRR12774947	SRR12774947	sample_name
SRR12774947	SRR12774947	srr
SRR12774948	SRR12774948	sample_name
SRR12774948	SRR12774948	srr
SRR12774949	SRR12774949	sample_name
SRR12774949	SRR12774949	srr
SRR12774950	SRR12774950	sample_name
SRR12774950	SRR12774950	srr
SRR12774951	SRR12774951	sample_name
SRR12774951	SRR12774951	srr
SRR12774952	SRR12774952	sample_name
SRR12774952	SRR12774952	srr
SRR1297231	SRR1297231	sample_name
SRR1297231	SRR1297231	srr
SRR1297232	SRR1297232	sample_name
SRR1297232	SRR1297232	srr
SRR1297233	SRR1297233	sample_name
SRR1297233	SRR1297233	srr
SRR1297234	SRR1297234	sample_name
SRR1297234	SRR1297234	srr
SRR1297235	SRR1297235	sample_name
SRR1297235	SRR1297235	srr
SRR1297236	SRR1297236	sample_name
SRR1297236	SRR1297236	srr
SRR1297237	SRR1297237	sample_name
SRR1297237	SRR1297237	srr
SRR1297238	SRR1297238	sample_name
SRR1297238	SRR1297238	srr
SRR1302423	SRR1302423	sample_name
SRR1302423	SRR1302423	srr
SRR1302424	SRR1302424	sample_name
SRR1302424	SRR1302424	srr
SRR13114370	SRR13114370	sample_name
SRR13114370	SRR13114370	srr
SRR13114371	SRR13114371	sample_name
SRR13114371	SRR13114371	srr
SRR13114372	SRR13114372	sample_name
SRR13114372	SRR13114372	srr
SRR13114373	SRR13114373	sample_name
SRR13114373	SRR13114373	srr
SRR13114374	SRR13114374	sample_name
SRR13114374	SRR13114374	srr
SRR13114375	SRR13114375	sample_name
SRR13114375	SRR13114375	srr
SRR13114376	SRR13114376	sample_name
SRR13114376	SRR13114376	srr
SRR13114377	SRR13114377	sample_name
SRR13114377	SRR13114377	srr
SRR13114378	SRR13114378	sample_name
SRR13114378	SRR13114378	srr
SRR13114379	SRR13114379	sample_name
SRR13114379	SRR13114379	srr
SRR13114380	SRR13114380	sample_name
SRR13114380	SRR13114380	srr
SRR13114381	SRR13114381	sample_name
SRR13114381	SRR13114381	srr
SRR13114382	SRR13114382	sample_name
SRR13114382	SRR13114382	srr
SRR13114383	SRR13114383	sample_name
SRR13114383	SRR13114383	srr
SRR13114384	SRR13114384	sample_name
SRR13114384	SRR13114384	srr
SRR13114385	SRR13114385	sample_name
SRR13114385	SRR13114385	srr
SRR13114386	SRR13114386	sample_name
SRR13114386	SRR13114386	srr
SRR13114387	SRR13114387	sample_name
SRR13114387	SRR13114387	srr
SRR13208368	SRR13208368	sample_name
SRR13208368	SRR13208368	srr
SRR13208369	SRR13208369	sample_name
SRR13208369	SRR13208369	srr
SRR13242137	SRR13242137	sample_name
SRR13242137	SRR13242137	srr
SRR13242138	SRR13242138	sample_name
SRR13242138	SRR13242138	srr
SRR13242139	SRR13242139	sample_name
SRR13242139	SRR13242139	srr
SRR13242380	SRR13242380	sample_name
SRR13242380	SRR13242380	srr
SRR13242381	SRR13242381	sample_name
SRR13242381	SRR13242381	srr
SRR1342250	SRR1342250	sample_name
SRR1342250	SRR1342250	srr
SRR1342251	SRR1342251	sample_name
SRR1342251	SRR1342251	srr
SRR1342252	SRR1342252	sample_name
SRR1342252	SRR1342252	srr
SRR1342253	SRR1342253	sample_name
SRR1342253	SRR1342253	srr
SRR13632937	SRR13632937	sample_name
SRR13632937	SRR13632937	srr
SRR13632938	SRR13632938	sample_name
SRR13632938	SRR13632938	srr
SRR13632939	SRR13632939	sample_name
SRR13632939	SRR13632939	srr
SRR13632940	SRR13632940	sample_name
SRR13632940	SRR13632940	srr
SRR1406747	SRR1406747	sample_name
SRR1406747	SRR1406747	srr
SRR1406748	SRR1406748	sample_name
SRR1406748	SRR1406748	srr
SRR1482436	SRR1482436	srr
SRR1482437	SRR1482437	srr
SRR1482438	SRR1482438	srr
SRR1482439	SRR1482439	srr
SRR1482440	SRR1482440	srr
SRR1482441	SRR1482441	srr
SRR1482442	SRR1482442	srr
SRR1482443	SRR1482443	srr
SRR1482444	SRR1482444	srr
SRR1501091	SRR1501091	sample_name
SRR1501091	SRR1501091	srr
SRR1501092	SRR1501092	sample_name
SRR1501092	SRR1501092	srr
SRR1501093	SRR1501093	sample_name
SRR1501093	SRR1501093	srr
SRR1501094	SRR1501094	sample_name
SRR1501094	SRR1501094	srr
SRR1503602	SRR1503602	sample_name
SRR1503602	SRR1503602	srr
SRR1503603	SRR1503603	sample_name
SRR1503603	SRR1503603	srr
SRR1503604	SRR1503604	sample_name
SRR1503604	SRR1503604	srr
SRR1503605	SRR1503605	sample_name
SRR1503605	SRR1503605	srr
SRR1503606	SRR1503606	sample_name
SRR1503606	SRR1503606	srr
SRR1503607	SRR1503607	sample_name
SRR1503607	SRR1503607	srr
SRR1517780	SRR1517780	sample_name
SRR1517780	SRR1517780	srr
SRR1517781	SRR1517781	sample_name
SRR1517781	SRR1517781	srr
SRR1517782	SRR1517782	sample_name
SRR1517782	SRR1517782	srr
SRR1517783	SRR1517783	sample_name
SRR1517783	SRR1517783	srr
SRR1517784	SRR1517784	sample_name
SRR1517784	SRR1517784	srr
SRR1517785	SRR1517785	sample_name
SRR1517785	SRR1517785	srr
SRR1517786	SRR1517786	sample_name
SRR1517786	SRR1517786	srr
SRR1517787	SRR1517787	sample_name
SRR1517787	SRR1517787	srr
SRR1517788	SRR1517788	sample_name
SRR1517788	SRR1517788	srr
SRR1517789	SRR1517789	sample_name
SRR1517789	SRR1517789	srr
SRR1517790	SRR1517790	sample_name
SRR1517790	SRR1517790	srr
SRR1517791	SRR1517791	sample_name
SRR1517791	SRR1517791	srr
SRR1519032	SRR1519032	sample_name
SRR1519032	SRR1519032	srr
SRR1519033	SRR1519033	sample_name
SRR1519033	SRR1519033	srr
SRR1519034	SRR1519034	sample_name
SRR1519034	SRR1519034	srr
SRR1519035	SRR1519035	sample_name
SRR1519035	SRR1519035	srr
SRR1519036	SRR1519036	sample_name
SRR1519036	SRR1519036	srr
SRR1519037	SRR1519037	sample_name
SRR1519037	SRR1519037	srr
SRR1519038	SRR1519038	sample_name
SRR1519038	SRR1519038	srr
SRR1519039	SRR1519039	sample_name
SRR1519039	SRR1519039	srr
SRR1519040	SRR1519040	sample_name
SRR1519040	SRR1519040	srr
SRR1519041	SRR1519041	sample_name
SRR1519041	SRR1519041	srr
SRR1519042	SRR1519042	sample_name
SRR1519042	SRR1519042	srr
SRR1519043	SRR1519043	sample_name
SRR1519043	SRR1519043	srr
SRR1542320	SRR1542320	sample_name
SRR1542320	SRR1542320	srr
SRR1542321	SRR1542321	sample_name
SRR1542321	SRR1542321	srr
SRR1542322	SRR1542322	sample_name
SRR1542322	SRR1542322	srr
SRR1542323	SRR1542323	sample_name
SRR1542323	SRR1542323	srr
SRR1542324	SRR1542324	sample_name
SRR1542324	SRR1542324	srr
SRR1542325	SRR1542325	sample_name
SRR1542325	SRR1542325	srr
SRR1542326	SRR1542326	sample_name
SRR1542326	SRR1542326	srr
SRR1542327	SRR1542327	sample_name
SRR1542327	SRR1542327	srr
SRR1542328	SRR1542328	sample_name
SRR1542328	SRR1542328	srr
SRR1542329	SRR1542329	sample_name
SRR1542329	SRR1542329	srr
SRR1542330	SRR1542330	sample_name
SRR1542330	SRR1542330	srr
SRR1542331	SRR1542331	sample_name
SRR1542331	SRR1542331	srr
SRR1542332	SRR1542332	sample_name
SRR1542332	SRR1542332	srr
SRR1542333	SRR1542333	sample_name
SRR1542333	SRR1542333	srr
SRR1544602	SRR1544602	sample_name
SRR1544602	SRR1544602	srr
SRR1544603	SRR1544603	sample_name
SRR1544603	SRR1544603	srr
SRR1544604	SRR1544604	sample_name
SRR1544604	SRR1544604	srr
SRR1544605	SRR1544605	sample_name
SRR1544605	SRR1544605	srr
SRR1544606	SRR1544606	sample_name
SRR1544606	SRR1544606	srr
SRR1544608	SRR1544608	sample_name
SRR1544608	SRR1544608	srr
SRR1544609	SRR1544609	sample_name
SRR1544609	SRR1544609	srr
SRR1544610	SRR1544610	sample_name
SRR1544610	SRR1544610	srr
SRR1544611	SRR1544611	sample_name
SRR1544611	SRR1544611	srr
SRR1544612	SRR1544612	sample_name
SRR1544612	SRR1544612	srr
SRR1544613	SRR1544613	sample_name
SRR1544613	SRR1544613	srr
SRR1544614	SRR1544614	sample_name
SRR1544614	SRR1544614	srr
SRR1544615	SRR1544615	sample_name
SRR1544615	SRR1544615	srr
SRR1552315	SRR1552315	sample_name
SRR1552315	SRR1552315	srr
SRR1552316	SRR1552316	sample_name
SRR1552316	SRR1552316	srr
SRR1552480	SRR1552480	sample_name
SRR1552480	SRR1552480	srr
SRR1552481	SRR1552481	sample_name
SRR1552481	SRR1552481	srr
SRR1552482	SRR1552482	sample_name
SRR1552482	SRR1552482	srr
SRR1552483	SRR1552483	sample_name
SRR1552483	SRR1552483	srr
SRR1552484	SRR1552484	sample_name
SRR1552484	SRR1552484	srr
SRR1552485	SRR1552485	sample_name
SRR1552485	SRR1552485	srr
SRR1554311	SRR1554311	srr
SRR1554312	SRR1554312	srr
SRR1560531	SRR1560531	sample_name
SRR1560531	SRR1560531	srr
SRR1560532	SRR1560532	sample_name
SRR1560532	SRR1560532	srr
SRR1560533	SRR1560533	sample_name
SRR1560533	SRR1560533	srr
SRR1560534	SRR1560534	sample_name
SRR1560534	SRR1560534	srr
SRR1560535	SRR1560535	sample_name
SRR1560535	SRR1560535	srr
SRR1560536	SRR1560536	sample_name
SRR1560536	SRR1560536	srr
SRR1560537	SRR1560537	sample_name
SRR1560537	SRR1560537	srr
SRR1560538	SRR1560538	sample_name
SRR1560538	SRR1560538	srr
SRR1574538	SRR1574538	sample_name
SRR1574538	SRR1574538	srr
SRR1574539	SRR1574539	sample_name
SRR1574539	SRR1574539	srr
SRR1575914	SRR1575914	srr
SRR1575915	SRR1575915	srr
SRR1575916	SRR1575916	srr
SRR1575917	SRR1575917	srr
SRR1575918	SRR1575918	srr
SRR1575919	SRR1575919	srr
SRR1575920	SRR1575920	srr
SRR1575923	SRR1575923	srr
SRR1575924	SRR1575924	srr
SRR1575925	SRR1575925	srr
SRR1575926	SRR1575926	srr
SRR1575927	SRR1575927	srr
SRR1575928	SRR1575928	srr
SRR1575929	SRR1575929	srr
SRR1575930	SRR1575930	srr
SRR1575931	SRR1575931	srr
SRR1575932	SRR1575932	srr
SRR1575933	SRR1575933	srr
SRR1575934	SRR1575934	srr
SRR1596500	SRR1596500	sample_name
